USER           PID  PPID     VSZ    RSS WCHAN            ADDR S NAME                       
root           277     2       0      0 0                   0 S [irq/163-arm-smm]
root           278     2       0      0 0                   0 I [qcrypto_seq_res]
root           279     2       0      0 0                   0 S [irq/164-arm-smm]
root           301     2       0      0 0                   0 S [scsi_eh_0]
root           302     2       0      0 0                   0 I [scsi_tmf_0]
root           303     2       0      0 0                   0 I [ufs_pm_qos_0]
root           304     2       0      0 0                   0 I [ufs_clk_gating_]
root           305     2       0      0 0                   0 I [ufs_clkscaling_]
root           307     2       0      0 0                   0 S [spi1]
root           308     2       0      0 0                   0 S [irq/165-arm-smm]
root           309     2       0      0 0                   0 S [spi2]
root           310     2       0      0 0                   0 I [bond0]
root           316     2       0      0 0                   0 I [uether]
root           317     2       0      0 0                   0 I [k_ipa_usb]
root           320     2       0      0 0                   0 S [irq/110-aw8624]
root           321     2       0      0 0                   0 I [aw8624_vibrator]
root           329     2       0      0 0                   0 S [rot_commitq_0_0]
root           330     2       0      0 0                   0 S [rot_commitq_0_1]
root           331     2       0      0 0                   0 S [rot_doneq_0_0]
root           332     2       0      0 0                   0 S [rot_doneq_0_1]
root           333     2       0      0 0                   0 S [rot_fenceq_0_0]
root           334     2       0      0 0                   0 S [rot_fenceq_0_1]
root           335     2       0      0 0                   0 S [rot_fenceq_0_2]
root           336     2       0      0 0                   0 S [rot_fenceq_0_3]
root           337     2       0      0 0                   0 S [rot_fenceq_0_4]
root           338     2       0      0 0                   0 S [rot_fenceq_0_5]
root           339     2       0      0 0                   0 S [rot_fenceq_0_6]
root           340     2       0      0 0                   0 S [rot_fenceq_0_7]
root           341     2       0      0 0                   0 S [rot_fenceq_0_8]
root           342     2       0      0 0                   0 S [rot_fenceq_0_9]
root           343     2       0      0 0                   0 S [rot_fenceq_0_10]
root           344     2       0      0 0                   0 S [rot_fenceq_0_11]
root           345     2       0      0 0                   0 S [rot_fenceq_0_12]
root           346     2       0      0 0                   0 S [rot_fenceq_0_13]
root           347     2       0      0 0                   0 S [rot_fenceq_0_14]
root           348     2       0      0 0                   0 S [rot_fenceq_0_15]
root           349     2       0      0 0                   0 S [irq/155-arm-smm]
root           350     2       0      0 0                   0 I [msm_vidc_worker]
root           351     2       0      0 0                   0 I [pm_workerq_venu]
root           352     2       0      0 0                   0 S [irq/166-arm-smm]
root           353     2       0      0 0                   0 S [irq/167-arm-smm]
root           354     2       0      0 0                   0 S [irq/168-arm-smm]
root           355     2       0      0 0                   0 S [irq/169-arm-smm]
root           356     2       0      0 0                   0 I [cam-cpas]
root           357     2       0      0 0                   0 I [qcom,cam_virtua]
root           358     2       0      0 0                   0 S [irq/170-arm-smm]
root           359     2       0      0 0                   0 I [qcom,cam170-cpa]
root           360     2       0      0 0                   0 S [irq/171-arm-smm]
root           361     2       0      0 0                   0 I [cam_cci_wq]
root           362     2       0      0 0                   0 I [cam_cci_wq]
root           363     2       0      0 0                   0 I [cam_cci_wq]
root           364     2       0      0 0                   0 I [cam_cci_wq]
root           365     2       0      0 0                   0 S [irq/172-arm-smm]
root           366     2       0      0 0                   0 S [irq/173-arm-smm]
root           367     2       0      0 0                   0 S [irq/174-arm-smm]
root           368     2       0      0 0                   0 S [irq/175-arm-smm]
root           369     2       0      0 0                   0 S [irq/302-bq2597x]
root           371     2       0      0 0                   0 S [irq/87-qcom,tem]
root           372     2       0      0 0                   0 S [irq/95-qcom,tem]
